,S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
1964,1964,Maruti Alto LXi BSIII,Hyderabad,2006,71993,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.8
1965,1965,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,2013,62000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,170 bhp,5.0,,12.5
1966,1966,Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.74
1967,1967,Hyundai Grand i10 Sportz,Kochi,2016,26038,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.43
1968,1968,Toyota Fortuner 4x4 AT,Kochi,2018,37713,Diesel,Automatic,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,,31.62
1969,1969,Toyota Innova 2.0 GX 8 STR,Kolkata,2011,78088,Petrol,Manual,First,12.4 kmpl,1998 CC,132 bhp,8.0,,6.3
1970,1970,Ford EcoSport 1.5 TDCi Titanium,Kochi,2017,30453,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,,8.45
1971,1971,Ford Figo 1.2P Titanium MT,Pune,2016,54000,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,,5.0
1972,1972,Toyota Fortuner 3.0 Diesel,Chennai,2011,190000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.0
1973,1973,Maruti Swift Dzire VXI,Hyderabad,2012,65097,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,,4.7
1974,1974,BMW 7 Series 740Li,Coimbatore,2018,28060,Petrol,Automatic,First,12.05 kmpl,2979 CC,320 bhp,5.0,,93.67
1975,1975,Skoda Superb 1.8 TSI MT,Pune,2012,282000,Petrol,Manual,First,13.14 kmpl,1798 CC,160 bhp,5.0,,3.3
1976,1976,Maruti Wagon R LXI Minor,Jaipur,2009,111000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5.0,,1.51
1977,1977,Renault Duster 110PS Diesel RxZ,Kochi,2013,63295,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.09
1978,1978,Maruti Ciaz VXi Plus,Mumbai,2015,35770,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,5.95
1979,1979,Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,,9.0
1980,1980,Skoda Rapid 1.5 TDI AT Elegance,Kolkata,2015,45000,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,,4.25
1981,1981,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Hyderabad,2013,21000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,,23.5
1982,1982,Honda Accord 2.4 A/T,Mumbai,2011,54774,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,5.0,,6.35
1983,1983,Maruti Celerio VXI,Chennai,2014,41123,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,3.4
1984,1984,BMW 7 Series 740Li,Bangalore,2017,17465,Petrol,Automatic,First,12.05 kmpl,2979 CC,320 bhp,5.0,,93.0
1985,1985,BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,,21.6
1986,1986,Volkswagen Vento Diesel Trendline,Chennai,2011,173000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,4.0
1987,1987,Maruti Swift Dzire Tour LDI,Pune,2018,12000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,,5.5
1988,1988,Land Rover Freelander 2 SE,Mumbai,2012,34000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5.0,,19.25
1989,1989,Hyundai i20 1.4 CRDi Magna,Hyderabad,2012,71360,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,,3.95
1990,1990,Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4 kmpl,1248 CC,73.75 bhp,5.0,8.94 Lakh,4.25
1991,1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,21.38 Lakh,17.02
1992,1992,Maruti Ertiga VDI,Hyderabad,2012,82085,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.5
1993,1993,Ford Figo Petrol ZXI,Bangalore,2011,68465,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,,2.95
1994,1994,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,First,21.43 kmpl,1364 CC,86.79 bhp,5.0,19.27 Lakh,7.12
1995,1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,12.88 Lakh,11.25
1996,1996,Honda City 1.5 S MT,Delhi,2009,65055,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.75
1997,1997,Mahindra Scorpio S10 4WD,Hyderabad,2015,120000,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,,12.0
1998,1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5.0,8.27 Lakh,3.67
1999,1999,Mercedes-Benz E-Class 220 CDI,Pune,2001,121000,Diesel,Manual,First,15.0 kmpl,2148 CC,null bhp,5.0,,5.0
2000,2000,Mahindra Renault Logan 1.4 GLX Petrol,Pune,2008,2200,Petrol,Manual,First,15.7 kmpl,1390 CC,75 bhp,5.0,,2.3
2001,2001,Skoda Octavia 1.9 TDI,Pune,2008,88123,Diesel,Manual,First,18.7 kmpl,1896 CC,66 bhp,5.0,,2.2
2002,2002,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Pune,2014,79000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7.0,,41.0
2003,2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5.0,48.18 Lakh,28.5
2004,2004,Volkswagen Vento 2013-2015 1.6 Comfortline,Mumbai,2015,23001,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,5.49
2005,2005,Audi A4 2.0 TDI,Ahmedabad,2013,82002,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,,17.5
2006,2006,Ford Ikon 1.4 TDCi DuraTorq,Bangalore,2009,75000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,5.0,,1.99
2007,2007,Hyundai Verna 1.6 CRDi EX MT,Kochi,2016,37451,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,6.64
2008,2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,22.87 Lakh,16.5
2009,2009,Hyundai Grand i10 Asta Option,Pune,2016,25000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.0
2010,2010,Volkswagen Ameo 1.2 MPI Comfortline,Mumbai,2017,12000,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5.0,,5.4
2011,2011,Renault KWID RXT,Kolkata,2017,25000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,2.99
2012,2012,Honda City 1.5 S MT,Jaipur,2011,95936,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,4.1
2013,2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,7.37 Lakh,6.76
2014,2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,18.78 kmpl,999 CC,75 bhp,5.0,7.33 Lakh,5.5
2015,2015,Maruti Swift VDI BSIV,Coimbatore,2014,44282,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.99
2016,2016,Nissan Sunny 2011-2014 Diesel XV,Delhi,2012,70000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,,2.59
2017,2017,Jaguar XF 2.2 Litre Luxury,Mumbai,2013,31400,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,,26.75
2018,2018,Maruti Ciaz ZDi SHVS,Pune,2016,50000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,8.5
2019,2019,Audi Q5 2008-2012 2.0 TDI,Bangalore,2011,53000,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5.0,,23.0
2020,2020,Ford Figo Petrol ZXI,Pune,2014,21727,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5.0,,3.35
2021,2021,Hyundai Santa Fe 4x4 AT,Bangalore,2012,43000,Diesel,Automatic,Second,11.72 kmpl,2199 CC,194.3 bhp,7.0,,10.75
2022,2022,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Kolkata,2013,75000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,,6.29
2023,2023,Renault Duster 110PS Diesel RxL,Bangalore,2014,73557,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,,7.75
2024,2024,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,44555,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5.0,,13.5
2025,2025,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7.0,4.98 Lakh,3.75
2026,2026,Mahindra Xylo E4,Mumbai,2011,76000,Diesel,Manual,Second,14.0 kmpl,2498 CC,112 bhp,7.0,,3.75
2027,2027,Maruti Wagon R LXI,Jaipur,2006,101000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5.0,,1.5
2028,2028,Maruti Wagon R LXI BSIII,Chennai,2005,66000,Petrol,Manual,First,14.0 kmpl,1061 CC,64 bhp,5.0,,1.45
2029,2029,Maruti SX4 ZXI MT BSIV,Coimbatore,2013,84360,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,5.0,,4.12
2030,2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,23.06 Lakh,17.11
2031,2031,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,100000,Diesel,Manual,Second,12.99 kmpl,2494 CC,100.6 bhp,7.0,,10.25
2032,2032,Volkswagen Polo Diesel Trendline 1.2L,Kolkata,2011,66035,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.49
2033,2033,Toyota Etios G,Pune,2015,190000,Petrol,Manual,Second,16.78 kmpl,1496 CC,88.73 bhp,5.0,,3.85
2034,2034,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2014,85670,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,6.25
2035,2035,Hyundai Grand i10 CRDi Magna,Hyderabad,2015,35000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,4.88
2036,2036,Honda City i VTEC CVT SV,Mumbai,2016,8000,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,9.45
2037,2037,Toyota Innova 2.5 G3,Hyderabad,2007,162000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,4.8
2038,2038,Hyundai EON Era Plus,Kolkata,2012,60000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,1.99
2039,2039,Hyundai i10 Magna 1.2,Hyderabad,2010,70600,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.8
2040,2040,Mercedes-Benz E-Class 2009-2013 E 200 CGI Elegance,Bangalore,2011,25000,Petrol,Automatic,Second,12.3 kmpl,1796 CC,185 bhp,5.0,,22.0
2041,2041,Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7.0,10.32 Lakh,4.3
2042,2042,Skoda Laura Ambition 2.0 TDI CR AT,Coimbatore,2014,85071,Diesel,Automatic,First,20.0 kmpl,1968 CC,138.1 bhp,5.0,,9.75
2043,2043,Maruti Swift ZXI,Ahmedabad,2015,40000,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.9
2044,2044,Audi A4 2.0 TDI,Delhi,2013,67000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,14.5
2045,2045,Ford Fiesta 1.4 SXi TDCi ABS,Hyderabad,2009,55000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,,2.4
2046,2046,Maruti SX4 Vxi BSIII,Mumbai,2008,62000,Petrol,Manual,Second,15.0 kmpl,1586 CC,104.68 bhp,5.0,,2.11
2047,2047,Hyundai Grand i10 AT Asta,Coimbatore,2017,22526,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,,7.6
2048,2048,Maruti Ritz AT,Hyderabad,2012,57788,Petrol,Automatic,First,17.16 kmpl,1197 CC,85.80 bhp,5.0,,3.6
2049,2049,Mahindra Scorpio 2.6 CRDe,Jaipur,2013,72000,Diesel,Manual,First,10.5 kmpl,2179 CC,120 bhp,8.0,,6.0
2050,2050,Mahindra Scorpio S4 7 Seater,Mumbai,2014,83128,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7.0,,7.45
2051,2051,Maruti Alto LXi,Chennai,2011,75000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,,2.1
2052,2052,Renault Duster 110PS Diesel RxZ,Ahmedabad,2013,58000,Diesel,Manual,Second,19.01 kmpl,1461 CC,108.45 bhp,5.0,,5.2
2053,2053,Mahindra Jeep MM 550 PE,Hyderabad,2009,26000,Diesel,Manual,First,0.0 kmpl,2498 CC,null bhp,6.0,,6.99
2054,2054,Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5.0,7.87 Lakh,6.36
2055,2055,Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015,59751,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,11.62
2056,2056,BMW 7 Series 730Ld Eminence,Kochi,2015,29966,Diesel,Automatic,Second,16.77 kmpl,2993 CC,261.49 bhp,5.0,1.4 Cr,43.6
2057,2057,Hyundai Sonata Embera 2.0L CRDi MT,Kolkata,2009,65000,Diesel,Manual,Second,13.6 kmpl,1991 CC,142 bhp,5.0,,4.9
2058,2058,Renault Duster Adventure Edition,Kochi,2015,75863,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.7
2059,2059,Maruti Wagon R CNG LXI,Mumbai,2013,54000,CNG,Manual,First,33.54 km/kg,998 CC,67.04 bhp,5.0,5.58 Lakh,3.05
2060,2060,Audi A4 2.0 TDI 177 Bhp Technology Edition,Bangalore,2014,24000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,25.0
2061,2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,22.46 Lakh,19.05
2062,2062,Hyundai Verna 1.4 VTVT,Kolkata,2015,33425,Petrol,Manual,First,17.43 kmpl,1396 CC,105.5 bhp,5.0,,4.5
2063,2063,Honda Amaze VX i-Vtech,Pune,2013,47000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.15
2064,2064,Hyundai Creta 1.6 CRDi SX Option,Chennai,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,11.9
2065,2065,Hyundai i10 Magna 1.1,Delhi,2011,62000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,,2.1
2066,2066,Mahindra TUV 300 T8,Delhi,2016,47035,Diesel,Manual,First,18.49 kmpl,1493 CC,100 bhp,7.0,,6.95
2067,2067,Maruti Swift Dzire VXi,Pune,2008,56230,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,2.4
2068,2068,Hyundai Accent GLE 1,Chennai,2007,55000,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5.0,,2.65
2069,2069,Mahindra XUV500 W8 2WD,Jaipur,2014,70669,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.0
2070,2070,Maruti Alto K10 2010-2014 VXI,Pune,2012,69000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.1
2071,2071,Chevrolet Beat LT,Pune,2011,65000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5.0,,2.5
2072,2072,Audi A6 2.7 TDI,Mumbai,2009,30000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,8.95
2073,2073,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,5.0,42.48 Lakh,34.0
2074,2074,Maruti Swift 1.3 LXI,Pune,2011,24255,Petrol,Manual,First,16.1 kmpl,,,,,3.15
2075,2075,Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,7.69 Lakh,4.0
2076,2076,Honda City i DTEC SV,Kolkata,2014,40000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,,4.45
2077,2077,Chevrolet Beat LT,Jaipur,2010,26000,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,1.5
2078,2078,Audi A4 2.0 TDI Multitronic,Jaipur,2011,105000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,140 bhp,5.0,,14.5
2079,2079,Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,Diesel,Manual,First,26.1 kmpl,1498 CC,99 bhp,5.0,9.4 Lakh,8.41
2080,2080,Hyundai Verna SX CRDi AT,Mumbai,2014,71000,Diesel,Automatic,Second,19.08 kmpl,1582 CC,126.32 bhp,5.0,,5.45
2081,2081,Honda City i VTEC CVT VX,Mumbai,2015,32896,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,8.9
2082,2082,Hyundai i10 Sportz 1.2,Hyderabad,2012,45000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,3.65
2083,2083,BMW X3 xDrive20d Expedition,Bangalore,2015,65000,Diesel,Automatic,Second,18.56 kmpl,1995 CC,190 bhp,5.0,,29.0
2084,2084,Audi A4 2.0 TDI,Mumbai,2013,45200,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,,13.5
2085,2085,Honda CR-V 2.4 AT,Hyderabad,2008,82167,Petrol,Automatic,First,10.1 kmpl,2354 CC,152 bhp,5.0,,5.4
2086,2086,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,8.1 Lakh,5.89
2087,2087,Maruti Ciaz ZDi Plus SHVS,Hyderabad,2016,46000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,8.45
2088,2088,Honda City i-VTEC V,Delhi,2011,67031,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,11.85 Lakh,4.0
2089,2089,BMW 6 Series 640d Coupe,Mumbai,2013,30000,Diesel,Automatic,First,9.52 kmpl,2993 CC,313 bhp,4.0,,45.0
2090,2090,Maruti Celerio VXI AMT,Mumbai,2016,47691,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,6.08 Lakh,3.94
2091,2091,Renault Koleos 2.0 Diesel,Jaipur,2011,32531,Diesel,Automatic,Second,13.73 kmpl,1995 CC,148 bhp,5.0,,8.0
2092,2092,Ford Figo Diesel ZXI,Hyderabad,2013,71336,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,4.1
2093,2093,Toyota Innova 2.5 V Diesel 7-seater,Chennai,2006,196000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,6.25
2094,2094,Maruti Dzire VDI,Kolkata,2015,28193,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5.0,8.36 Lakh,5.25
2095,2095,Mercedes-Benz SLC 43 AMG,Coimbatore,2019,2526,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2.0,1.06 Cr,83.96
2096,2096,Hyundai Santro LP zipPlus,Coimbatore,2004,52146,Petrol,Manual,First,0.0 kmpl,,,,,1.93
2097,2097,Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,Diesel,Automatic,First,16.1 kmpl,1950 CC,194 bhp,5.0,71.15 Lakh,21.0
2098,2098,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.82 Lakh,4.3
2099,2099,Honda Mobilio S i VTEC,Mumbai,2014,43081,Petrol,Manual,First,17.3 kmpl,1497 CC,117.3 bhp,7.0,,5.25
2100,2100,Porsche Cayenne Turbo S,Mumbai,2010,35000,Petrol,Automatic,Second,11.9 kmpl,4806 CC,550 bhp,5.0,,32.0
2101,2101,Mahindra Quanto C8,Kolkata,2013,36000,Diesel,Manual,First,17.21 kmpl,1493 CC,100 bhp,7.0,,3.9
2102,2102,Toyota Corolla H5,Mumbai,2007,67000,Petrol,Manual,Third,13.4 kmpl,1794 CC,125 bhp,5.0,,2.2
2103,2103,Mahindra KUV 100 mFALCON D75 K4,Mumbai,2016,34079,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,3.7
2104,2104,BMW 3 Series 2005-2011 325i Sedan,Coimbatore,2010,77849,Petrol,Automatic,Second,10.9 kmpl,2497 CC,215 bhp,5.0,,11.27
2105,2105,Maruti Alto 800 LXI,Jaipur,2013,86000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,,2.41
2106,2106,Audi Q3 35 TDI Quattro Premium,Pune,2015,110000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,,19.0
2107,2107,Toyota Etios GD,Hyderabad,2015,116000,Diesel,Manual,Second,23.59 kmpl,1364 CC,67.05 bhp,5.0,,5.8
2108,2108,Mahindra XUV500 W8 2WD,Coimbatore,2016,41840,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,13.52
2109,2109,Toyota Fortuner 4x2 MT TRD Sportivo,Hyderabad,2015,19317,Diesel,Manual,First,13.0 kmpl,2982 CC,168.7 bhp,7.0,,24.5
2110,2110,Tata Indigo CS Emax CNG GLX,Pune,2014,41000,CNG,Manual,First,24.6 km/kg,1193 CC,55.23 bhp,5.0,,3.25
2111,2111,Mercedes-Benz GLE 250d,Kochi,2017,25601,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5.0,78.76 Lakh,56.73
2112,2112,Hyundai Creta 1.6 CRDi SX,Jaipur,2015,83950,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,9.95
2113,2113,Honda City 1.5 V AT,Pune,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,118 bhp,5.0,,5.5
2114,2114,Audi A4 35 TDI Premium,Hyderabad,2015,50000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,25.0
2115,2115,Maruti Zen VXI,Kolkata,2009,37000,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,5.0,,1.0
2116,2116,Maruti Alto LXi,Hyderabad,2011,76976,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,2.15
2117,2117,Maruti Baleno Delta Automatic,Kochi,2018,21684,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,7.89
2118,2118,Mahindra XUV500 W10 2WD,Delhi,2015,62000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,10.25
2119,2119,Ford Freestyle Titanium Petrol,Mumbai,2007,1261,Petrol,Manual,First,19.0 kmpl,1194 CC,94.68 bhp,5.0,8.12 Lakh,6.0
2120,2120,Hyundai Elite i20 Asta Option,Coimbatore,2017,59450,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5.0,9.78 Lakh,7.53
2121,2121,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,24465,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,,39.45
2122,2122,Honda City i VTEC SV,Delhi,2014,55000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,5.84
2123,2123,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,2000,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5.0,,8.65
2124,2124,Maruti Baleno Alpha 1.2,Kochi,2017,25040,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,,7.74
2125,2125,Hyundai i10 Sportz,Bangalore,2008,84000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.5
2126,2126,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Pune,2007,170428,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,,5.7
2127,2127,Maruti Baleno Delta,Mumbai,2016,12573,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5.0,7.36 Lakh,5.8
2128,2128,Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2012,88000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,,36.5
2129,2129,Hyundai Santa Fe 2WD AT,Delhi,2012,86000,Diesel,Automatic,Second,13.01 kmpl,2199 CC,194.3 bhp,7.0,,9.5
2130,2130,Hyundai Santro GLS I - Euro II,Coimbatore,2012,51019,Petrol,Manual,First,0.0 kmpl,999 CC,null bhp,5.0,,3.48
2131,2131,Honda City 1.5 V MT Exclusive,Mumbai,2013,45000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,4.55
2132,2132,Hyundai i20 1.4 CRDi Magna,Jaipur,2012,51000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,,3.9
2133,2133,Mahindra Bolero SLE BSIII,Pune,2007,92000,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,,2.7
2134,2134,Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,Diesel,Automatic,First,12.9 kmpl,2755 CC,174.5 bhp,7.0,38.11 Lakh,31.0
2135,2135,BMW 3 Series 2005-2011 325i Sedan,Bangalore,2009,70521,Petrol,Automatic,Second,10.9 kmpl,2497 CC,215 bhp,5.0,,10.3
2136,2136,BMW 3 Series 320d Sedan,Kolkata,2010,51000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5.0,,7.75
2137,2137,Maruti Wagon R LXI,Hyderabad,2012,52618,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,3.2
2138,2138,Maruti Ertiga ZDI,Delhi,2013,68000,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,7.0,11.75 Lakh,4.85
